Month;Product;Organic;Type;Land;Cost per unit;Total_cost;Amount;Weight;Total_weight
1;Bread;;cereals;Sweden;25;175;7;0,6;4,2
1;Potato;yes;cereals;Sweden;33;33;1;2;2
1;Polar bread;;cereals;Sweden;18;72;4;0,325;1,3
1;Rice arborio;;cereals;Italy;30;30;1;1;1
1;Cous cous;;cereals;?;26;26;1;1;1
1;Brown Rice;;cereals;Spain;23;23;1;0,6;0,6
1;Hard bread;yes;cereals;Sweden;16;32;2;0,25;0,5
1;Crunchyrolls;;cereals;Sweden;28;28;1;0,4;0,4
1;Tortilla;;cereals;Sweden;20;20;1;0,38;0,38
1;Lasagne plates;;cereals;Sweden;13;13;1;0,2;0,2
1;A-fil;yes;dairy;Sweden;13;169;13;1;13
1;Milk;;dairy;Sweden;12;72;6;1;6
1;Yoguty;yes;dairy;Sweden;17;51;3;1;3
1;Egg;yes;dairy;Sweden;26;130;5;0,32;1,6
1;Actimel;;dairy;Poland;20;60;3;0,4;1,2
1;Whipping cream;;dairy;Sweden;20;40;2;0,5;1
1;Cheese Chedar;;dairy;Sweden;98;98;1;0,8;0,8
1;Butter bregott;yes;dairy;Sweden;35;35;1;0,6;0,6
1;Cottage cheese;yes;dairy;Sweden;19;38;2;0,25;0,5
1;Cream;yes;dairy;Sweden;11;22;2;0,25;0,5
1;Cheese Västerbotten;;dairy;Sweden;67;67;1;0,45;0,45
1;Butter;yes;dairy;Sweden;28;28;1;0,3;0,3
1;Feta;;dairy;Greece;27;54;2;0,15;0,3
1;Butter;yes;dairy;Sweden;20;20;1;0,25;0,25
1;Creme Fraiche;yes;dairy;Sweden;12;12;1;0,2;0,2
1;Parmesan cheese;yes;dairy;Italy;53;53;1;0,15;0,15
1;Salmon;;fish;Norway;78;78;1;0,6;0,6
1;Salmon smoked;;fish;Norway;40;80;2;0,2;0,4
1;Mussels ;;fish;Canada;62;124;2;0,2;0,4
1;Cod;yes;fish;Norway;30;30;1;0,4;0,4
1;Salmon;yes;fish;Norway;63;63;1;0,28;0,28
1;Shrimps;;fish;Sweden;29;29;1;0,17;0,17
1;Sardins;;fish;Sweden;15;15;1;0,1;0,1
1;Chicken;yes;meat;Sweden;142;270;2;0,5;0,96
1;Sausage;;meat;Sweden;28;28;1;0,8;0,8
1;Lamb;;meat;New Zeeland;33;66;2;0,25;0,5
1;Grounded beef;yes;meat;Sweden;45;45;1;0,5;0,5
1;Reindeer;;meat;Sweden;41;82;2;0,24;0,48
1;Prosciutto;;meat;Italy;36;108;3;0,08;0,24
1;Pate;;meat;Sweden;11;11;1;0,2;0,2
1;Pate;;meat;Sweden;12;12;1;0,15;0,15
1;Sugar;yes;other;Paraguay;23;23;1;1;1
1;Coffee;yes;other;Central America;109;109;1;0,5;0,5
1;Pizza;;other;Sweden;33;33;1;0,4;0,4
1;Pizza;;other;Germany;30;30;1;0,375;0,375
1;Chocolate;;other;Switzerland;24;48;2;0,1;0,2
1;Fish bouljong;;other;?;27;27;1;0,06;0,06
1;Apple;;veg&fruit;Italy;100;100;1;6,44;6,44
1;Proviva Blåbär;;veg&fruit;Sweden;20;120;6;1;6
1;Clementin;;veg&fruit;Spain;70;70;1;3,8;3,8
1;Avocado;;veg&fruit;Chile;39;78;2;1;2
1;Carrots;yes;veg&fruit;Sweden;20;20;1;2;2
1;Apple;yes;veg&fruit;Sweden;22;22;1;1,8;1,8
1;Tomato conserve;yes;veg&fruit;Italy;16;64;4;0,4;1,6
1;Onions;;veg&fruit;Sweden;9;9;1;1;1
1;Onion;yes;veg&fruit;Sweden;18;18;1;1;1
1;Beets;yes;veg&fruit;Sweden;21;21;1;1;1
1;Herbs;;veg&fruit;Sweden;15;60;4;0,2;0,8
1;Russin;;veg&fruit;USA;14;42;3;0,25;0,75
1;Clementin;yes;veg&fruit;Spain;18;18;1;0,75;0,75
1;Olive Oil;;veg&fruit;Spain;32;32;1;0,75;0,75
1;Rapeseed Oil;;veg&fruit;Belgium;16;16;1;0,75;0,75
1;Leek;;veg&fruit;Holland;11;22;2;0,374;0,748
1;Pumpking;;veg&fruit;Holland;14;14;1;0,65;0,65
1;Quorn;;veg&fruit;UK;37;74;2;0,3;0,6
1;Tomatoes;;veg&fruit;Spain;15;15;1;0,6;0,6
1;Kalamata olives;yes;veg&fruit;Greece;32;64;2;0,29;0,58
1;Tomato;;veg&fruit;Sweden;35;35;1;0,5;0,5
1;Olive Oil;yes;veg&fruit;Spain;40;40;1;0,5;0,5
1;Tomato cherry;;veg&fruit;Spain;12;24;2;0,25;0,5
1;Apple;yes;veg&fruit;Italy;20;20;1;0,5;0,5
1;Celery;;veg&fruit;Sweden;20;20;1;0,45;0,45
1;Rucola;;veg&fruit;Sweden;25;50;2;0,2;0,4
1;Black Eyed Peas;;veg&fruit;Italy;11;11;1;0,4;0,4
1;Kale;yes;veg&fruit;Sweden;29;29;1;0,4;0,4
1;Fennel;;veg&fruit;Sweden;16;16;1;0,4;0,4
1;Chunky Salsa;;veg&fruit;Sweden;24;24;1;0,35;0,35
1;Zucchini;;veg&fruit;Spain;12;12;1;0,345;0,345
1;Asparagus;;veg&fruit;Peru;34;34;1;0,3;0,3
1;Kiwi;;veg&fruit;New Zeeland;20;20;1;0,3;0,3
1;Raisins;yes;veg&fruit;USA;22;22;1;0,25;0,25
1;Broccoli;;veg&fruit;Spain;8;8;1;0,25;0,25
1;Parsnips;;veg&fruit;Sweden;5;5;1;0,2;0,2
1;Basil;yes;veg&fruit;Sweden;18;18;1;0,2;0,2
1;Sugar snaps;;veg&fruit;Sweden;20;20;1;0,15;0,15
1;Pepper;;veg&fruit;Holland;7;7;1;0,14;0,14
1;Kapris;;veg&fruit;Italy;20;20;1;0,1;0,1
1;Rucula;yes;veg&fruit;Sweden;17;17;1;0,065;0,065
1;Baby spinach;yes;veg&fruit;Sweden;17;17;1;0,06;0,06
1;Saffran;;veg&fruit;Iran;30;30;1;0,01;0,01
1;Wine;;wine;Chile;229;229;1;3;3
2;Bread;;cereals;Sweden;25;100;4;0,6;2,4
2;Havregryn;yes;cereals;Sweden;23;23;1;1;1
2;Rye flakes;yes;cereals;Sweden;17;17;1;1;1
2;Rice arborio;;cereals;Italy;30;30;1;1;1
2;Spaghetti;;cereals;Italy;23;23;1;0,8;0,8
2;Hamb. Bread;;cereals;Sweden;30;30;1;0,4;0,4
2;Crunchyrolls;;cereals;Sweden;28;28;1;0,4;0,4
2;Sunflower seeds;yes;cereals;Sweden;26;26;1;0,4;0,4
2;Tortilla;;cereals;Sweden;20;20;1;0,38;0,38
2;Linseed;yes;cereals;Sweden;23;23;1;0,35;0,35
2;Wheat bran;;cereals;Sweden;15;15;1;0,35;0,35
2;Havrekli;;cereals;Sweden;15;15;1;0,3;0,3
2;Hard bread;yes;cereals;Sweden;16;16;1;0,25;0,25
2;A-fil;yes;dairy;Sweden;13;104;8;1;8
2;Milk;;dairy;Sweden;12;36;3;1;3
2;Cheese Chedar;;dairy;Sweden;71;142;2;0,5;1
2;Egg;yes;dairy;Sweden;26;52;2;0,32;0,64
2;Cream;yes;dairy;Sweden;11;22;2;0,25;0,5
2;Actimel;;dairy;Poland;20;20;1;0,4;0,4
2;Feta;yes;dairy;Greece;25;50;2;0,15;0,3
2;Cottage cheese;yes;dairy;Sweden;19;19;1;0,25;0,25
2;Butter Bregott;yes;dairy;Sweden;20;20;1;0,25;0,25
2;Manchego Cheese;;dairy;Spain;33;33;1;0,2;0,2
2;Creme Fraiche;yes;dairy;Sweden;12;12;1;0,2;0,2
2;Salmon;yes;fish;Norway;63;126;2;0,28;0,56
2;Salmon smoked;;fish;Norway;40;40;1;0,2;0,2
2;Mussels;;fish;Canada;62;62;1;0,2;0,2
2;Sausage;;meat;Sweden;28;28;1;0,8;0,8
2;Grounded beef;yes;meat;Sweden;45;45;1;0,5;0,5
2;Reindeer;yes;meat;Sweden;41;82;2;0,24;0,48
2;Pate;;meat;Sweden;11;22;2;0,2;0,4
2;Bacon;yes;meat;Sweden;18;36;2;0,12;0,24
2;Prosciutto;;meat;Italy;36;36;1;0,08;0,08
2;Glögg;;other;Sweden;25;25;1;0,75;0,75
2;Pepparkakor;;other;Sweden;38;38;1;0,6;0,6
2;Coffee beans;;other;Italy;78;78;1;0,5;0,5
2;Pizza;;other;Sweden;33;33;1;0,4;0,4
2;Pizza;;other;Germany;30;30;1;0,375;0,375
2;Clementin;;veg&fruit;Spain;18;54;3;1,5;4,5
2;Proviva Blåbär;;veg&fruit;Sweden;20;40;2;1;2
2;Apple;yes;veg&fruit;Italy;20;60;3;0,5;1,5
2;Apple;;veg&fruit;Italy;28;28;1;1,4;1,4
2;Onion;yes;veg&fruit;Sweden;18;18;1;1;1
2;Oranges;;veg&fruit;Italy;13;13;1;1;1
2;Zucchini;;veg&fruit;Spain;12;24;2;0,3;0,6
2;Olive Oil;yes;veg&fruit;Spain;40;40;1;0,5;0,5
2;Wok vegetables;;veg&fruit;Sweden / Global;22;22;1;0,5;0,5
